,project_group_id,project_name,num_workflows,num_workflows_prev,num_agents,num_agents_prev,num_submissions,num_submissions_prev,num_submissions_per_min,num_submissions_per_min_prev,avg_first_good_submission_rate,avg_first_good_submission_rate_prev,avg_rejection_rate,avg_rejection_rate_prev,avg_quality_score,avg_quality_score_prev,avg_rework_time,avg_rework_time_prev,num_workflows_movt,num_agents_movt,num_submissions_movt,num_submissions_per_min_movt,avg_first_good_submission_rate_movt,avg_rejection_rate_movt,avg_quality_score_movt,avg_rework_time_movt,is_missing
19,1032,EM points and lines,25,,25,,2001.0,,838.9233607244677,,81.27960000000002,,0.16982986527075164,,97.6968,,0.6936,,,,,,,,,,True
20,959,WPO1- Product-Ads 6,27,19,27,19,4185.0,3696.0,2045.158371040724,1332.5237191650851,88.63074074074073,99.5236842105263,0.0025656944556465954,0.004721393003748602,99.79875000000001,99.61111111111111,0.8999999999999999,2.3431578947368426,0.42105263157894735,0.42105263157894735,0.13230519480519481,0.5348007255901995,-0.10945076597790833,-0.45658104427876817,0.001883714445064232,-0.6159029649595689,False
21,129,Seeding w Escalations 2,11,9,6,6,790.0,661.0,164.08610271903325,126.4937274080374,100.0,100.0,0.0,0.0,,,0.0,0.0,0.2222222222222222,0.0,0.1951588502269289,0.29718766362012694,0.0,,,,False
22,1480,TOF5 - Training - clone,4,4,4,4,124.0,215.0,31.058234189104574,45.31085353003161,100.0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,-0.4232558139534884,-0.31455199429162223,0.0,,,,False
23,450,DBE1 Freespace RnF Pilot,190,190,184,184,1590.0,2024.0,23.63185928209525,32.61014275841307,89.55268421052632,94.4024210526316,0.024389804049820767,0.01886115624359314,96.0,98.02576923076923,2.146578947368422,0.4302631578947369,0.0,0.0,-0.21442687747035574,-0.27532180839660747,-0.051373013403982815,0.2931234827189149,-0.020665680531414397,3.9889908256880746,False
24,1331,WRT19_Pilot - Production,37,35,36,35,992.0,1290.0,74.9596650668845,107.25994203449424,100.0,100.0,0.0,0.0,,,0.0,0.0,0.05714285714285714,0.02857142857142857,-0.2310077519379845,-0.30114016803423355,0.0,,,,False
25,189,GAR 1 Logos w Escalations,198,53,143,33,21002.0,4742.0,8029.34157173199,2100.860988046477,100.0,100.0,0.0,0.0,,,0.0,0.0,2.7358490566037736,3.3333333333333335,3.4289329396878956,2.8219290173969185,0.0,,,,False
26,107,HOR1 - Titles Only - FMTC,12,,12,,3340.0,,2875.1793400286947,,96.0075,,0.03900865050943965,,97.5125,,1.0724999999999998,,,,,,,,,,True
27,1349,PVQ1 Training_ Pedestrian,49,45,40,39,9146.0,7165.0,5607.532532532532,3155.4609512624775,99.95469387755102,99.80600000000003,0.0004537116279311951,0.001933048092677086,95.99499999999998,87.69720930232556,0.2091836734693878,0.814,0.08888888888888889,0.02564102564102564,0.27648290300069783,0.777088235013334,0.0014898290438550479,-0.7652869426011807,0.09461864024736273,-0.7430176001604573,False
28,1349,PVQ1 Production_Pedestrian,44,,38,,6854.0,,4166.565349544075,,99.35000000000002,,0.006498439343276811,,,,1.0620454545454547,,,,,,,,,,True
