,project_group_id,project_group_name,num_workflows,num_workflows_prev,num_agents,num_agents_prev,num_submissions,num_submissions_prev,sumbission_rate_mins,sumbission_rate_mins_prev,avg_first_good_submission_rate,avg_first_good_submission_rate_prev,avg_rejection_rate,avg_rejection_rate_prev,avg_quality_score,avg_quality_score_prev,avg_rework_time,avg_rework_time_prev,num_workflows_movt,num_agents_movt,num_submissions_movt,sumbission_rate_mins_movt,avg_first_good_submission_rate_movt,avg_rejection_rate_movt,avg_quality_score_movt,avg_rework_time_movt,is_missing
41,1448,UGU1-R2-C4,1,1,18,18,1783.0,1985.0,25.67,24.96,54.89,62.72,0.12,0.43,100.0,100.0,3.08,2.43,0.0,0.0,-0.1,0.03,-0.12,-0.71,0.0,0.27,False
42,1483,Sama Go Projects,1,1,0,0,2.0,4.0,8.33,3.96,100.0,100.0,0.0,0.0,,,0.0,0.0,0.0,nan,-0.5,1.1,0.0,,,,False
46,675,GSE10,2,1,5,5,389.0,211.0,8.66,5.01,96.04,86.49,0.03,0.06,99.95,99.93,0.82,1.17,1.0,0.0,0.84,0.73,0.11,-0.45,0.0,-0.3,False
49,1392,FHT1,1,1,1,5,112.0,1910.0,54.9,1339.27,100.0,98.14,0.0,0.02,,,1.96,0.0,0.0,-0.8,-0.94,-0.96,0.02,-1.0,,inf,False
50,1360,OMJ1,1,1,24,24,291.0,224.0,1.43,1.0,95.95,89.98,0.04,0.08,99.37,99.44,0.54,11.32,0.0,0.0,0.3,0.43,0.07,-0.47,-0.0,-0.95,False
53,212,All things AI,4,2,43,41,328.0,155.0,0.53,0.19,100.0,100.0,0.0,0.0,,,0.0,0.0,1.0,0.05,1.12,1.81,0.0,,,,False
54,1386,OMJ-AMPS,1,1,0,0,11.0,55.0,0.13,2.74,100.0,100.0,0.0,0.0,,,0.0,0.0,0.0,nan,-0.8,-0.95,0.0,,,,False
55,820,DBE1 MCOD,2,2,28,27,210.0,191.0,0.43,0.61,100.0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.04,0.1,-0.29,0.0,,,,False
61,1746,Sama Go Projects,1,1,0,0,5.0,7.0,1.34,0.2,100.0,100.0,0.0,0.0,,,0.0,0.0,0.0,nan,-0.29,5.84,0.0,,,,False
63,1728,Test,2,3,0,25,7.0,413.0,2.45,35.64,100.0,96.99,0.0,0.03,,99.49,0.0,0.0,-0.33,-1.0,-0.98,-0.93,0.03,-1.0,,,False
68,1439,Let's annotate,2,1,0,0,2.0,5.0,0.03,1.11,100.0,100.0,0.0,0.0,,,0.0,0.0,1.0,nan,-0.6,-0.97,0.0,,,,False
71,1613,DBM35,1,1,1,1,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-0.62,0.0,,,,False
